epoch,train_loss,train_acc,val_loss,val_acc
1,1.6250552541732788,0.39926,1.290509443473816,0.5408
2,1.220481100845337,0.56552,1.0388240324020386,0.6302
3,1.0589245779418945,0.62744,1.0434484926223755,0.6447
4,0.9353897166633606,0.67262,0.9935738096237182,0.664
5,0.8447607806015015,0.70716,0.8326688925743103,0.7198
6,0.7798274098587036,0.73272,0.7556665831565857,0.7436
7,0.7268478622055053,0.75212,0.6192548408985138,0.7889
8,0.6820017426300049,0.76682,0.6468367634773254,0.7798
9,0.6511785108566284,0.77796,0.6287166837215423,0.7879
10,0.6216175728225708,0.7893,0.7315060568809509,0.7537
11,0.5983565975570678,0.79544,0.5468920855998993,0.8117
12,0.5766519010925293,0.80396,0.5558578677177429,0.8168
13,0.5616862186431885,0.80806,0.5455519524574279,0.8154
14,0.5442872185707093,0.81512,0.5227607829570771,0.823
15,0.5345619855117798,0.81824,0.5138382117271423,0.8247
16,0.5201460569000245,0.8231,0.45006326251029966,0.8508
17,0.5034308646392822,0.82828,0.4554010708332062,0.844
18,0.5062078131961822,0.82642,0.41848283796310426,0.8582
19,0.48621731648445127,0.83454,0.49160366821289064,0.8367
20,0.48567192742347715,0.83424,0.42999420049190523,0.8563
21,0.47153630637168886,0.8403,0.43801074166297915,0.8539
22,0.4691053115272522,0.84126,0.4042514316082001,0.8644
23,0.4604164559841156,0.8438,0.49194749660491943,0.8333
24,0.4537748230075836,0.84512,0.42537898831367493,0.8583
25,0.4474565094184875,0.84576,0.4366979024410248,0.8593
26,0.442625408039093,0.8473,0.4080688960075378,0.8637
27,0.4350767251586914,0.85336,0.4222219725370407,0.8584
28,0.4377266815948486,0.85116,0.4491245994091034,0.8514
29,0.42886055925369265,0.85476,0.3897741525888443,0.8682
30,0.42577442262649534,0.8554,0.38174972596168516,0.869
31,0.4219244497489929,0.85656,0.3915383230686188,0.872
32,0.41870930103302,0.85704,0.41306693692207336,0.8668
33,0.4139675736236572,0.85836,0.35102188627719877,0.883
34,0.41096430665969846,0.85868,0.3976988077878952,0.867
35,0.4088395372581482,0.86058,0.3596157587051392,0.8827
36,0.4003114385032654,0.86414,0.3970878901481628,0.8683
